Species Name,Common Name,Habit,Soil,Sun,Cultivation Protocols ,Propagation Protocols ,Propagation Methods,Cultivation Requirements Subtotal,Germplasm Source,Conservation Status,Germplasm Origin,Provenance,"Additional Conservation
benefit",Conservation Subtotal,"Additional Local Benefits Description (i.e., to City of Melbourne)",Additional Local Benefits Subtotal,Total Score,Horticultural Potential ,Total Score Including Hort Potential,Weed Rating,Priority species
Comesperma polygaloides,Small Milkwort,Annual,"Free Draining, Moderately Draining",Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,2 - Can be propagated - but requires significant time/effort,Seed/Cuttings,4,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,2 - Indigenous to City of Melbourne,1 - Bushfire Recovery,14,Culturally Important to Traditional owners / and or local community,1,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Euphrasia collina subsp. muelleri,Purple Eyebright,Annual,"Free Draining, Moderately Draining",Full Sun,2* - Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture,1* - Difficult to propagate,Seed,3,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,2 - Indigenous to City of Melbourne,1 - Bushfire Recovery,15,Culturally Important to Traditional owners / and or local community,1,18,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,21,Low Risk,NO
Leptorhynchos elongatus,Lanky Buttons,Herbaceous Perennial,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,3 - Not held in collection but easily obtained,4 - Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,9,"Culturally Important to Traditional owners / and or local community, Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",2,17,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,20,Medium Risk,NO
Lepidium hyssopifolium,Basalt Peppercress,Herbaceous Perennial,Free Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed,7,2* = Not held in collection moderately difficult to collect,4 - Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,8,Culturally Important to Traditional owners / and or local community,1,16,1 - Little or no ornamental/display potential,17,Medium Risk,NO
Microseris scapigera,Yam Daisy,Herbaceous Perennial,"Free Draining, Moderately Draining","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,4 - Currently held limited propagation material,5 - Critically Endangered,3 - Wild,2 - Indigenous to City of Melbourne,0,14,"Culturally Important to Traditional owners / and or local community, Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",2,23,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,27,Medium Risk,YES
Senecio cunninghamii var. cunninghamii,Bushy Groundsel,Herbaceous Perennial,Moderately Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Cuttings,6,3 - Not held in collection but easily obtained,4 - Endangered,0 - Unsourced,2 - Indigenous to City of Melbourne,0,9,Culturally Important to Traditional owners / and or local community,1,16,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,19,Low Risk,NO
Xerochrysum palustre,Swamp Everlasting,Herbaceous Perennial,Moderately Draining,"Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Division,7,5 - Currently held in collection,5 - Critically Endangered,3 - Wild,2 - Indigenous to City of Melbourne,1 - Bushfire Recovery,16,"Culturally Important to Traditional owners / and or local community, Suited to Green infrastructure Projects (Rain Gardens, Green Walls, Green Roofs, Woody Meadow)",2,25,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,29,Low Risk,YES
Atriplex paludosa subsp. paludosa,Marsh Saltbush,Small Shrub less than 1 metre,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",4 - Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years,3 - Easily propagated,Seed/Cuttings,7,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,N/A,0,19,3 - Plant with some ornamental attributes (form/flowers/fruit etc.) at various times of the year and could be reasonably incorporated into mixed plantings,22,Low Risk,NO
Austrostipa breviglumis,Cane Spear-grass,Grass or Grasslike,Free Draining,Full Sun,3 - Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant,3 - Easily propagated,Seed/Division,6,5 - Currently held in collection,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,13,N/A,0,19,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,23,Medium Risk,NO
Austrostipa rudis subsp. australis,Veined Spear Grass,Grass or Grasslike,Moderately Draining,"Full Sun, Part Shade, Shade",5 - Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years,3 - Easily propagated,Seed/Division,8,4 - Currently held limited propagation material,4 - Endangered,3 - Wild,1 - Indigenous to Greater Melbourne,0,12,N/A,0,20,4 - Plant with many ornamental attributes (form/flowers/fruit etc.) throughout year,24,Medium Risk,YES
