ID,Binomial,SpNo,TaxonID,CommonName,Class,Order,Family,FamilyCommonName,Genus,Species,Subspecies,FunctionalGroup,TaxonomicGroup,EPBCStatus,IUCNStatus,BirdActionPlanStatus,MaxStatus,State,Region,RegionCentroidLatitude,RegionCentroidLongitude,RegionCentroidAccuracy,SiteID,SourceID,SourceDesc,MonitoringProgram,UnitID,Unit,SearchTypeID,SearchTypeDesc,ResponseVariableType,DataType,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,TimeSeriesLength,TimeSeriesSampleYears,TimeSeriesCompleteness,TimeSeriesSamplingEvenness,AbsencesRecorded,StandardisationOfMethodEffort,ObjectiveOfMonitoring,SpatialRepresentativeness,ConsistencyOfMonitoring,Management,ManagementCategory,ManagementCategoryComments,SuppressAggregatedData,SurveyCount,TimeSeriesID,NationalPriorityTaxa,Citation
4728,Acacia_enterocarpa,,p_1103,Jumping-jack Wattle,,Fabales,Fabaceae,,Acacia,enterocarpa,,Shrub,Plants,Endangered,,,Endangered,Victoria,Wimmera,-36.5434572,142.1688746,81210.0,372712,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1.0,0.0,1,,,,,No known management,Unknown,,0,2,958_2_1897_372712_p_1103,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
4729,Acacia_enterocarpa,,p_1103,Jumping-jack Wattle,,Fabales,Fabaceae,,Acacia,enterocarpa,,Shrub,Plants,Endangered,,,Endangered,Victoria,Wimmera,-36.5434572,142.1688746,81210.0,373037,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,,,,,316.0,,,,,,,,,,,,,,,,,,,,,,21,2,0.095,0.0,1,,,,,No known management,Unknown,,0,3,958_2_1897_373037_p_1103,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
4730,Acacia_enterocarpa,,p_1103,Jumping-jack Wattle,,Fabales,Fabaceae,,Acacia,enterocarpa,,Shrub,Plants,Endangered,,,Endangered,Victoria,Wimmera,-36.5434572,142.1688746,81210.0,373058,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,375.0,,,,,,,,,,,,,,,,,,,,,,22,2,0.091,0.0,1,,,,,No known management,Unknown,,0,2,958_2_1897_373058_p_1103,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
4731,Acacia_enterocarpa,,p_1103,Jumping-jack Wattle,,Fabales,Fabaceae,,Acacia,enterocarpa,,Shrub,Plants,Endangered,,,Endangered,Victoria,Wimmera,-36.5434572,142.1688746,81210.0,373060,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,22,2,0.091,0.0,1,,,,,No known management,Unknown,,0,2,958_2_1897_373060_p_1103,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
4732,Acacia_enterocarpa,,p_1103,Jumping-jack Wattle,,Fabales,Fabaceae,,Acacia,enterocarpa,,Shrub,Plants,Endangered,,,Endangered,Victoria,Wimmera,-36.5434572,142.1688746,81210.0,373332,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,,,,21,2,0.095,0.0,1,,,,,No known management,Unknown,,0,2,958_2_1897_373332_p_1103,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
4736,Borya_mirabilis,,p_12162,Grampians Pincushion-lily,,Liliopsida,Boryaceae,,Borya,mirabilis,,Shrub,Plants,Endangered,,,Endangered,Victoria,Greater Grampians,-37.25678172,142.3822528,38112.0,255798,928,VIC-Borya_mirabilis-NReiteretal.,,2,Sample: abundance (counts),1668,Complete census. Number of genetically-distinct individuals,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,5.0,,,,,,,,3.0,,,,,,,13,3,0.231,4.0,1,,,,,Actively managed,Actively managed,Population is on a National Park; some management has occurred,0,3,928_2_1668_255798_p_12162,0,"Reiter NH, Walsh NG, Lawrie AC (2024). Causes of infertility in the endangered Australian endemic plant Borya mirabilis. Compiled by Noushka Reiter. Reiter et al. (2015). Causes of infertility in the endangered Australian endemic plant Borya mirabilis (Boryaceae). Australian Journal of Botany 63, 554-565. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
4848,Calochilus_richiae,,p_14735,Bald-tip Beard-orchid,,Asparagales,Orchidaceae,,Calochilus,richiae,,Orchid,Plants,Endangered,,,Endangered,Victoria,Goldfields,-36.85791566,143.9087018,68878.0,250614,927,VIC-Calochilus_richiae-MDuncan,,2,Sample: abundance (counts),1665,Complete census. Total number of plants,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,21.0,,,12.0,,,,6.0,,,,,,,6.0,1.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,21,8,0.381,3.44,1,,,,,Actively managed,Actively managed,Population is in a Nature Reserve; some management has occurred,0,8,927_2_1665_250614_p_14735,0,"Duncan M (2024). National Recovery Plan for the Bald-tip Beard Orchid Calochilus richiae. Compiled by Jennifer Silcock. Duncan, M. (2010). National Recovery Plan for the Bald-tip Beard Orchid Calochilus richiae. Department of Sustainability and Environment, Melbourne. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5004,Daviesia_laevis,,p_24601,Grampians Bitter-pea,,Fabales,Fabaceae,,Daviesia,laevis,,Shrub,Plants,Vulnerable,,,Vulnerable,Victoria,Central Victorian Uplands,-37.21970708,144.8841341,64821.0,373317,958,VIC-Plants-DELWP-VBA(2020),,2,Sample: abundance (counts),1897,Monitoring,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,11.0,8.5,11.5,,,,,,,,,,,,,,5,5,1.0,0.0,1,,,,,No known management,Unknown,,0,9,958_2_1897_373317_p_24601,0,"Vic Government (2024). Victorian Biodiversity Atlas data extract - plants. Compiled by Mel Hardie. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5006,Dianella_amoena,,p_25298,Matted Flax-lily,,Liliales,Hemerocallidaceae,,Dianella,amoena,,Herbaceous,Plants,Endangered,,,Endangered,Victoria,Victorian Volcanic Plain,-37.84704817,143.2517563,92763.0,374004,1056,VIC-Rutidosis_leptorhynchoides-Sececio_macrocarpu-Dianella_amoena-Pimelea_spinescens_subsp_spinescens-DELWP,,2,Sample: abundance (counts),1345,Population count,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,48.0,57.0,62.0,,55.0,6,5,0.833,0.0,1,,,,,Actively managed,Actively managed,"Occasional weed control, periodic fire.",0,5,1056_2_1345_374004_p_25298,0,"Sinclair S. (2024). Melbourne Strategic Assessment monitoring. Compiled by Steve Sinclair. The State of Victoria. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
5035,Eucalyptus_ornans,,p_32586,,,Myrtales,Myrtaceae,,Eucalyptus,ornans,,Tree,Plants,,Critically Endangered,,Critically Endangered,Victoria,Highlands-Southern Fall,-37.67163105,146.4117217,55782.0,250616,929,VIC-Eucalyptus_ornans-KRule-and-WMolyneux,,2,Sample: abundance (counts),1670,Complete census,Average count,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,10.0,,,,,,,,,,,,,,,3,2,0.667,0.0,1,,,,,No known management,No management,Population is in a National Park; no active management occurring,0,2,929_2_1670_250616_p_32586,0,"Rule K, Molyneux WM (2024). Two new mallee Eucalypts (Myrtaceae) from Gippsland, Victoria. Compiled by Jennifer Silcock. Rule, K. & Molyneux, W.M. (2011). Two new mallee Eucalypts (Myrtaceae) from Gippsland, Victoria. Muelleria 29, 16-26. Aggregated for the Australian Threatened Species Index, an output of the NESP Threatened Species Recovery Hub and operated by the Terrestrial Ecosystem Research Network, The University of Queensland."
