general_plant_id,watering,watering_general_benchmark,sunlight,soil,drought_tolerant,salt_tolerant,pruning_month,pruning_count,pest_susceptibility,flowers_detail,harvest_season,growth_rate,maintenance,care_level,watering_guide,sunlight_guide,pruning_guide
1,Frequent,"At least once ""7-10"" days",['full sun'],[],False,False,"['February', 'March', 'April']",,[],,,High,,Medium,,,
2,Average,"At least once ""7-10"" days",['full sun'],[],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
3,Average,"At least once ""7-10"" days","['Full sun', 'part shade']","['Acidic', ' Rocky ', ' gravelly ', ' dry', ' Well-drained']",True,False,"['February', 'March', 'April']",,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Dieback', ' Root rot', '  Pest resistant', ' Disease resistant ']",,,Low,Moderate,Moderate,,,
4,Average,"At least once ""7-10"" days",['full sun'],[],True,False,"['February', 'June', 'July', 'February', 'June', 'July']",,[],,,Low,,Medium,,,
5,Frequent,"At least once ""6-12"" days","['full sun', 'part shade', 'filtered shade']",['Well-drained'],False,False,"['February', 'March', 'April', 'June', 'July', 'August']",,"['Aphids', 'adelgids', '  Pest resistant', ' Disease resistant ']",,,Moderate,Moderate,Medium,,,
6,Average,"At least once ""7-10"" days","['Full sun', 'part shade']",['Well-drained'],False,False,"['June', 'May']",,"['Aphids', 'adelgids', ' Blight', 'needle cast', ' Caterpillar', 'cutworm', ' Root rot', ' Rust', '  Pest resistant', ' Disease resistant', ' Deer resistant', ' Drought resistant ']",,,Low,Moderate,Medium,,,
7,Average,"At least once ""7-10"" days","['full sun', 'part shade']",['Loamy Rocky'],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
8,Average,"At least once ""7-10"" days","['Full sun', 'part shade']",[],True,True,"['March', 'April', 'June', 'July', 'August', 'March', 'April', 'May', 'June', 'July', 'August']",,[],,,Low,Moderate,Medium,,,
9,Average,"At least once ""7-10"" days",['full sun'],['Loamy Rocky'],False,False,"['February', 'March', 'April']",,[],,,Low,,Medium,,,
10,Average,"At least once ""7-10"" days","['full sun', 'part shade']",[],False,False,"['March', 'April']",,[],,,Low,,Medium,,,
