plant_id,general_plant_id,threatened_plant_id,common_name,scientific_name,other_name,if_threatened,if_edible,if_indoors,if_medicinal,if_poisonous,if_fruits,if_flowers,sun_expose,watering,plant_cycle,growth_rate
1,1,,European Silver Fir,Abies alba,Common Silver Fir,False,False,False,True,False,False,False,"[""full sun""]",Frequent,Every year,High
2,2,,Pyramidalis Silver Fir,Abies alba 'Pyramidalis',,False,False,False,False,False,False,False,"[""full sun""]",Average,Every year,Low
3,3,,White Fir,Abies concolor,Silver Fir,False,False,False,True,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
4,4,,Candicans White Fir,Abies concolor 'Candicans',Silver Fir,False,False,False,False,False,False,False,"[""full sun""]",Average,Every year,Low
5,5,,Fraser Fir,Abies fraseri,Southern Fir,False,False,False,False,False,False,True,"[""full sun"", ""part shade"", ""filtered shade""]",Frequent,Every year,Moderate
6,6,,Golden Korean Fir,Abies koreana 'Aurea',,False,False,False,False,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
7,7,,Alpine Fir,Abies lasiocarpa,Subalpine Fir,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
8,8,,Blue Spanish Fir,Abies pinsapo 'Glauca',Glaucous Spanish Fir,False,False,False,False,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
9,9,,Noble Fir,Abies procera,Red Fir,False,False,False,True,False,False,True,"[""full sun""]",Average,Every year,Low
10,10,,Johin Japanese Maple,Acer 'Johin',Red Full Moon Maple,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
11,11,,Snakebark Maple,Acer davidii,Father David's Maple,False,False,False,True,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
12,12,,Amur Maple,Acer ginnala,,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
13,13,,Flame Amur Maple,Acer ginnala 'Flame',,False,False,False,False,False,False,False,"[""full sun""]",Frequent,Every year,High
14,14,,Red Rhapsody Amur Maple,Acer ginnala 'Mondy',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,High
15,15,,Ruby Slippers Amur Maple,Acer ginnala 'Ruby Slippers',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
16,16,,Paperbark Maple,Acer griseum,,False,False,False,False,False,True,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
17,17,,Fullmoon Maple,Acer japonicum,,False,False,False,False,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
18,18,,Cutleaf Fullmoon Maple,Acer japonicum 'Aconitifolium',fernleaf full moon maple,False,False,False,False,False,True,True,"[""Full sun"", ""part shade""]",Average,Every year,Moderate
19,19,,Attaryi Fullmoon Maple*,Acer japonicum 'Attaryi',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,High
20,20,,Golden Fullmoon Maple,Acer japonicum 'Aureum',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
21,21,,Emmett's Pumpkin Fullmoon Maple,Acer japonicum 'Emmett's Pumpkin',,False,False,False,False,False,False,False,"[""full sun"", ""part shade"", ""filtered shade""]",Average,Every year,Low
22,22,,Green Cascade Maple,Acer japonicum 'Green Cascade',,False,False,False,False,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
23,23,,Big Leaf Maple,Acer macrophyllum,Oregon Maple,False,False,False,True,False,True,True,"[""full sun"", ""part sun/part shade""]",Average,Every year,Moderate
24,24,,Mocha Rose Big Leaf Maple,Acer macrophyllum 'Mocha Rose',Oregon Maple,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,Moderate
25,25,,Flamingo Boxelder,Acer negundo 'Flamingo',Manitoba Maple,False,False,False,False,False,False,True,"[""full sun"", ""part sun/part shade""]",Average,Every year,Low
26,26,,Kelly's Gold Boxelder,Acer negundo 'Kelly's Gold',Manitoba Maple,False,False,False,False,False,False,True,"[""full sun"", ""part sun/part shade""]",Frequent,Every year,Low
27,27,,Japanese Maple,Acer palmatum,,False,False,False,True,False,True,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
28,28,,Aka Shigitatsu Sawa Japanese Maple,Acer palmatum 'Aka Shigitatsu Sawa',Samurai,False,False,False,False,False,False,False,"[""part sun/part shade""]",Frequent,Every year,Low
29,29,,Alpenweiss Variegated Dwarf Japanese Maple*,Acer palmatum 'Alpenweiss',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
30,30,,Ao Shime No Uchi Japanese Maple,Acer palmatum 'Ao Shime No Uchi',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
31,31,,Aoyagi Japanese Maple*,Acer palmatum 'Aoyagi',Green Coral Japanese Maple,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
32,32,,Arakawa Cork Bark Japanese Maple,Acer palmatum 'Arakawa',Rough-Bark Japanese Maple,False,False,False,False,False,True,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
33,33,,Asahi Zuru Japanese Maple,Acer palmatum 'Asahi Zuru',Rising Sun,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
34,34,,Ribbon-leaf Japanese Maple*,Acer palmatum 'Atrolineare',Red Strap-Leaf Japanese Maple,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Minimum,Every year,Low
35,35,,Purple-Leaf Japanese Maple,Acer palmatum 'Atropurpureum',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
36,36,,Aureum Japanese Maple*,Acer palmatum 'Aureum',,False,False,False,False,False,False,False,"[""part shade"", ""part sun/part shade""]",Average,Every year,Low
37,37,,Autumn Fire Japanese Maple,Acer palmatum 'Autumn Fire',Herbstfeuer,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
38,38,,Azuma Murasaki Japanese Maple,Acer palmatum 'Azuma Murasaki',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
39,39,,Beni Kawa Coral Bark Japanese Maple*,Acer palmatum 'Beni Kawa',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Moderate
40,40,,Beni Otake Japanese Maple,Acer palmatum 'Beni Otake',Big Red Bamboo,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
41,41,,Beni Schichihenge Japanese Maple,Acer palmatum 'Beni Schichihenge',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
42,42,,Beni Tsukasa Japanese Maple*,Acer palmatum 'Beni Tsukasa',Calico Cloth,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
43,43,,Bloodgood Japanese Maple,Acer palmatum 'Bloodgood',,False,False,False,False,False,False,True,"[""full sun"", ""part sun/part shade""]",Average,Every year,High
44,44,,Bonfire Japanese Maple,Acer palmatum 'Bonfire',Seigai,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
45,45,,Brandt's Dwarf Japanese Maple,Acer palmatum 'Brandt's Dwarf',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
46,46,,Burgundy Lace Japanese Maple,Acer palmatum 'Burgundy Lace',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
47,47,,Butterfly Variegated Japanese Maple,Acer palmatum 'Butterfly',,False,False,False,False,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,Low
48,48,,Chantilly Lace Japanese Maple,Acer palmatum 'Chantilly Lace',Threadleaf Japanese Maple,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
49,49,,Chishio Japanese Maple,Acer palmatum 'Chishio',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
50,50,,Chitose Yama Japanese Maple,Acer palmatum 'Chitose Yama',Chitoseyama,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
51,51,,Coonara Pygmy Japanese Maple,Acer palmatum 'Coonara Pygmy',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
52,52,,Crimson Prince Japanese Maple*,Acer palmatum 'Crimson Prince',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Moderate
53,53,,Ever Red Lace-Leaf Japanese Maple*,Acer palmatum 'Ever Red',,False,False,False,False,False,False,False,"[""full sun""]",Average,Every year,Low
54,54,,Glowing Embers Japanese Maple*,Acer palmatum 'Glowing Embers',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
55,55,,Grandma Ghost Japanese Maple*,Acer palmatum 'Grandma Ghost',Grandma's Ghost Japanese Maple,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
56,56,,Green Hornet Cutleaf Japanese Maple*,Acer palmatum 'Green Hornet',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Moderate
57,57,,Green Mist Japanese Maple*,Acer palmatum 'Green Mist',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
58,58,,Shirazz Japanese Maple,Acer palmatum 'Gwen's Rose Delight',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
59,59,,Hessei Japanese Maple,Acer palmatum 'Hessei',,False,False,False,False,False,False,False,"[""part shade"", ""part sun/part shade""]",Average,Every year,Low
60,60,,Higasa Yama Japanese Maple,Acer palmatum 'Higasa Yama',Higasayama,False,False,False,False,False,False,False,"[""part sun/part shade"", ""part shade""]",Average,Every year,Low
61,61,,Hogyoku Japanese Maple,Acer palmatum 'Hogyoku',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
62,62,,Hubb's Red Willow Japanese Maple,Acer palmatum 'Hubb's Red Willow',,False,False,False,False,False,False,False,"[""part shade"", ""part sun/part shade""]",Frequent,Every year,Low
63,63,,Iijima Sunago Japanese Maple,Acer palmatum 'Iijima Sunago',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
64,64,,Inaba Shidare Cutleaf Japanese Maple,Acer palmatum 'Inaba Shidare',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
65,65,,Inazuma Japanese Maple,Acer palmatum 'Inazuma',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
66,66,,Jiro Shidare Japanese Maple,Acer palmatum 'Jiro Shidare',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
67,67,,Kagiri Nishiki Japanese Maple,Acer palmatum 'Kagiri Nishiki',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
68,68,,Kamagata Japanese Maple,Acer palmatum 'Kamagata',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
69,69,,Kandy Kitchen Japanese Maple,Acer palmatum 'Kandy Kitchen',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
70,70,,Karasu Gawa Japanese Maple*,Acer palmatum 'Karasu Gawa',Karasugawa,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Moderate
71,71,,Kasagi Yama Japanese Maple,Acer palmatum 'Kasagi Yama',Kasagiyama Japanese Maple,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
72,72,,Katsura Japanese Maple,Acer palmatum 'Katsura',,False,False,False,False,False,False,True,"[""part shade"", ""part sun/part shade""]",Average,Every year,Low
73,73,,Kiri Nishiki Japanese Maple,Acer palmatum 'Kiri Nishiki',,False,False,False,False,False,False,False,"[""full sun"", ""part sun/part shade""]",Frequent,Every year,Low
74,74,,Kiyohime Japanese Maple,Acer palmatum 'Kiyohime',Kiyo Hime,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
75,75,,Koshibori Nishiki Japanese Maple*,Acer palmatum 'Koshibori Nishiki',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
76,76,,Koto No Ito Japanese Maple,Acer palmatum 'Koto No Ito',Harp String,False,False,False,False,False,True,True,"[""filtered shade"", ""full sun only if soil kept moist"", ""part sun/part shade""]",Average,Every year,Moderate
77,77,,Linearilobum Japanese Maple,Acer palmatum 'Linearilobum',Bamboo-Leaf Japanese Maple,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
78,78,,Margaret Bee Japanese Maple,Acer palmatum 'Margaret Bee',,False,False,False,False,False,False,False,"[""part shade"", ""part sun/part shade""]",Average,Every year,Low
79,79,,Mikawa Yatsubusa Japanese Maple,Acer palmatum 'Mikawa Yatsubusa',,False,False,False,False,False,False,False,"[""part shade"", ""part sun/part shade""]",Average,Every year,Low
80,80,,Mikazuki Japanese Maple,Acer palmatum 'Mikazuki',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
81,81,,Moonfire Japanese Maple,Acer palmatum 'Moonfire',,False,False,False,False,False,False,False,"[""part sun/part shade"", ""full sun""]",Average,Every year,Low
82,82,,Nishiki Gawa Japanese Maple*,Acer palmatum 'Nishiki Gawa',Pine Bark Maple,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,Low
83,83,,Nuresagi Japanese Maple,Acer palmatum 'Nuresagi',Wet Heron Japanese Maple,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Frequent,Every year,Low
84,84,,Okagami Japanese Maple,Acer palmatum 'Okagami',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
85,85,,Okushimo Japanese Maple,Acer palmatum 'Okushimo',Okushimu,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
86,86,,Orange Dream Japanese Maple,Acer palmatum 'Orange Dream',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
87,87,,Orangeola Cutleaf Japanese Maple,Acer palmatum 'Orangeola',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Moderate
88,88,,Oregon Sunset Japanese Maple,Acer palmatum 'Oregon Sunset',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
89,89,,Oridono Nishiki Japanese Maple*,Acer palmatum 'Oridono Nishiki',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Moderate
90,90,,Ornatum Japanese Maple*,Acer palmatum 'Ornatum',Dissectum Ornatum,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
91,91,,Osakazuki Japanese Maple,Acer palmatum 'Osakazuki',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
92,92,,Oshio Beni Japanese Maple,Acer palmatum 'Oshio Beni',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
93,93,,Oshu Shidare Japanese Maple,Acer palmatum 'Oshu Shidare',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
94,94,,Otake Japanese Maple,Acer palmatum 'Otake',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
