threatened_plant_id,soil,sun,propagation_methods,propagation_level,cultivation_note
3001,"Free Draining, Moderately Draining",Full Sun,Seed/Cuttings,Can be propagated - but requires significant time/effort,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3002,"Free Draining, Moderately Draining",Full Sun,Seed,Difficult to propagate,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3003,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3004,Free Draining,"Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3005,"Free Draining, Moderately Draining","Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3006,Moderately Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3007,Moderately Draining,"Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3008,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3009,Free Draining,Full Sun,Seed/Division,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3010,Moderately Draining,"Full Sun, Part Shade, Shade",Seed/Division,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3011,"Free Draining, Moderately Draining",Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3012,Free Draining,Part Shade,Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3013,Free Draining,Part Shade,Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3014,"Moderately Draining, Heavy",Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3015,"Free Draining, Moderately Draining","Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3016,Free Draining,"Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3017,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3018,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3019,Free Draining,Full Sun,Cuttings,Can be propagated - but requires significant time/effort,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3020,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3021,Free Draining,Part Shade,Seed/Cuttings,Can be propagated - but requires significant time/effort,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3022,"Free Draining, Moderately Draining","Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3023,"Free Draining, Moderately Draining","Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3024,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3025,Moderately Draining,Full Sun,Seed/Division,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3026,Free Draining,"Full Sun, Part Shade",Cuttings/Division,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3027,"Moderately Draining, Heavy","Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3028,"Free Draining, Moderately Draining","Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3029,"Free Draining, Moderately Draining, Heavy","Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3030,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3031,Free Draining,Part Shade,Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3032,"Moderately Draining, Heavy","Full Sun, Part Shade",Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3033,"Moderately Draining, Heavy",Full Sun,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3034,Free Draining,Full Sun,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3035,Free Draining,Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3036,"Free Draining, Moderately Draining",Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3037,Moderately Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3038,Heavy,Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3039,Free Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3040,Heavy,Full Sun,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3041,Moderately Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3042,Free Draining,Full Sun,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3043,"Free Draining, Moderately Draining",Part Shade,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3044,"Free Draining, Moderately Draining",Part Shade,Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3045,Moderately Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3046,"Free Draining, Moderately Draining",Part Shade,Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3047,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3048,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3049,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3050,Free Draining,"Part Shade, Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3051,"Free Draining, Moderately Draining",Part Shade,Seed/Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3052,Free Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3053,Free Draining,Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3054,"Moderately Draining, Heavy","Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3055,"Moderately Draining, Heavy","Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3056,Free Draining,Part Shade,Seed/Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3057,Free Draining,"Full Sun, Part Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3058,Free Draining,Full Sun,Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3059,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3060,"Moderately Draining, Heavy",Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3061,Heavy,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3062,Free Draining,"Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3063,"Free Draining, Moderately Draining",Full Sun,Seed/Cuttings/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3064,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3065,Free Draining,Part Shade,Cuttings,Can be propagated - but requires significant time/effort,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3066,"Moderately Draining, Heavy","Full Sun, Part Shade",Seed/Division,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3067,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3068,Moderately Draining,Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3069,Free Draining,Full Sun,Seed/Cuttings,Easily propagated,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3070,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3071,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Easily cultivated and highly adaptable across a range of garden situations/conditions - Long lived 10+ years
3072,"Free Draining, Moderately Draining",Full Sun,Seed,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3073,"Free Draining, Moderately Draining","Full Sun, Part Shade",Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3074,"Free Draining, Moderately Draining",Full Sun,Seed,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3075,Free Draining,"Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3076,Free Draining,Full Sun,Seed/Cuttings,Can be propagated - but requires significant time/effort,Difficult (but not impossible) to cultivate - short lived or has specific requirements for cultivation such as misting or mycorrhizal associates or pot culture
3077,"Free Draining, Moderately Draining","Part Shade, Shade",Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3078,"Free Draining, Moderately Draining",Part Shade,Cuttings,Easily propagated,Can be cultivated and is reasonably  tolerant of a range of garden situations/conditions - Longer lived 5+ years
3079,"Moderately Draining, Heavy","Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
3080,"Free Draining, Moderately Draining","Full Sun, Part Shade",Seed/Cuttings,Easily propagated,Can be cultivated with specific growing conditions eg moist well drained soils  - would need to be replaced within 5 years to maintain high quality plant
