plant_disease_id,common_name,scientific_name,other_name,host,description,solution
1,Fairy ring,Agrocybe,[],"[""all lawn grasses""]","[{""subtitle"": ""What is Fairy Ring (Agrocybe)?"", ""description"": ""A fairy ring is a lawn issue where circular bands of dark green or dying grass appear. Different fungi like Agrocybe, Marasmius oreades, and Lepiota species cause it. Fairy rings can be found on lawns worldwide. The size and shape of the rings depend on the fungus and environment. Common symptoms of the fairy ring include forming a ring pattern with vibrant or dead grass. Some fungi produce mushrooms without rings, while others create rings without mushrooms. This issue affects actively growing turf, including cool-season and Bermudagrass.""}, {""subtitle"": ""How Does Fairy Ring Occur?"", ""description"": ""Fairy rings are formed when underground fungal mycelia expand in a circular pattern. They release spores from mushrooms at the ring's edge, which can spread through air, animals, or water to create new colonies. The mycelia consume nutrients and cause the circular pattern to grow, resulting in fairy rings.""}]","[{""subtitle"": ""Cultural Practices"", ""description"": ""•\\tPractice proper turfgrass management, including fertilization, irrigation, and maintenance.\\n•\\tAvoid excessive thatch buildup by regular dethatching if it exceeds 1/2 inch (1.2 cm).\\n•\\tEnsure good drainage and avoid overwatering.\\n•\\tMinimize organic matter accumulation by removing grass clippings and debris.\\n•\\tUse fully decomposed compost and organic material.\\n•\\tMonitor and control weeds to prevent their invasion.\\n•\\tAvoid spreading infected soil or thatch to healthy areas.\\n\\n""}, {""subtitle"": ""Chemical Treatment"", ""description"": ""•  Propiconazole, thiophanate-methyl, Azoxystrobin (Heritage) and flutolanil (Prostar WG) are fungicides that can hinder the growth of fairy ring-causing fungi. These fungicides either inhibit the fungi's respiration process or disrupt their cell membrane synthesis.\\n Follow the manufacturer's instructions carefully.""}]"
2,Fungi Nuisance, Panaeolus foenisecii ,"[""Nuisance fungi""]","[""all lawn grasses""]","[{""subtitle"": "" What is Nuisance fungi (Panaeolus foenisecii)?"", ""description"": ""The dog vomit fungus, also known as Fuligo septica or slime mold, is a type of fungus that can appear in lawns and other outdoor areas. It has a widespread distribution and can be found in various regions. It does not infect plants directly but thrives on decaying organic matter in the soil. The symptoms of dog vomit fungus include the formation of a gooey, vomit-like mass on the surface of the lawn. While it is generally harmless to grass, it can be unsightly.""}, {""subtitle"": ""How does Nuisance fungi (Panaeolus foenisecii) Occur?"", ""description"": ""Dog vomit fungus, or Fuligo septica reproduces through spores released by the fungus. When conditions are suitable, the spores germinate and form a plasmodium, a mass of protoplasm that moves and feeds on decaying organic matter. The plasmodium matures into the characteristic slime mold, resembling vomit. Within the slime mold, sporangia develop, producing and releasing spores to complete the reproductive cycle.""}]","[{""subtitle"": ""Proper Lawn Maintenance"", ""description"": ""•\\tRegularly mow the lawn at the appropriate height to promote healthy grass growth.\\n•\\tAvoid overwatering or poor drainage conditions, as excessive moisture can contribute to mushroom growth.\\n•\\tReduce thatch buildup by dethatching the lawn when necessary.\\n•\\tEnsure proper disposal of organic debris and avoid burying it in the lawn.\\n•\\tUse a lawn aerator to improve water penetration and reduce the development of dense fungal mats.\\n•\\tRegularly pick or remove mushrooms as soon as they appear to prevent the spread of spores.\\n•\\tApply nitrogen fertilizer at a rate of 1 pound of actual nitrogen per 1,000 square feet of lawn to hasten the decomposition of organic matter and discourage mushroom growth.\\n""}]"
3,Grease spot (Pythium blight),Pythium spp.,"[""Pythium blight (grease spot)"", ""Damping off and root dieback"", ""Damping off and seed rots"", ""Damping off diseases""]","[""all lawn grasses"", ""carrot"", ""corn"", ""various trees and shrubs"", ""various vegetables and melons""]","[{""subtitle"": ""What is Pythium Bligh (Pythium spp.)?"", ""description"": ""Pythium blight is a fungal disease that impacts turfgrass, causing small circular spots that combine to form withered, reddish-brown, greasy-looking leaves, earning it the name \\""grease spot.\\"" This disease thrives in warm, humid conditions, especially when humidity is high and temperatures exceed 86°F. It affects all grass species, leading to seedling damping-off and root rots. Pythium blight spreads rapidly, capable of killing extensive grass areas within just 24 hours.""}, {""subtitle"": ""How does Pythium Blight occur?"", ""description"": ""Pythium blight reproduces through both asexual and sexual methods. In humid conditions, it releases zoospores that can swim in water and infect nearby turfgrass. It also produces durable sexual spores that help it survive in soil and plant debris. These reproductive strategies allow Pythium blight to spread and persist, causing damage to susceptible plants in turfgrass environments.""}]","[{""subtitle"": ""Improve soil drainage"", ""description"": ""Maintain proper soil moisture levels to avoid creating conditions favorable for Pythium growth. Improving soil drainage through aeration and avoiding overwatering can limit the conditions that allow the fungus to thrive.""}, {""subtitle"": ""Avoid watering at night"", ""description"": ""Watering the lawn early in the day and using fertilizers appropriately can further help reduce the risk of Pythium blight.""}, {""subtitle"": ""Use resistant grass cultivars"", ""description"": ""Additionally, selecting grass cultivars that are resistant to the disease can provide an extra level of protection. ""}, {""subtitle"": ""Maintain appropriate nitrogen levels"", ""description"": ""Avoid excessive nitrogen fertilization, as it can stimulate rapid turfgrass growth and make the plants more susceptible to disease.""}, {""subtitle"": ""Apply fungicides"", ""description"": ""Here are some commonly used fungicides for the management of Pythium blight (grease spot) in turfgrass.\\n\\n•\\tAzoxystrobin (Brand name: Heritage)\\n•\\tFosetyl-al (Brand names: Aliette WDG, Prodigy, Chipco Signature)\\n•\\tMancozeb (Brand names: Fore 80WP, Dithane M-45)\\n•\\tMefenoxam (Brand names: Subdue MAXX, Ridomil Gold SL)\\n•\\tChlorothalonil (Brand names: Daconil, Bravo)\\n•\\tPropamocarb (Brand name: Banol)\\n\\n•\\tPlease note that the use of fungicides should be in accordance with local regulations, product labels, and the advice of professionals or local extension services.\\n""}]"
4,Mushrooms,Coprinus comatus.,[],"[""all lawn grasses""]","[{""subtitle"": ""What is Mushrooms (Coprinus comatus)?"", ""description"": ""Coprinus comatus, commonly known as the shaggy ink cap or lawyer's wig, is a fascinating mushroom found worldwide. It thrives in grassy areas and meadows, displaying a distinctive appearance and rapid decomposition into an inky liquid. While it is edible when young and fresh, older specimens undergo autolysis. This mushroom belongs to the Agaricaceae family and features a tall, slender, white fruiting body with a shaggy cap that turns black and dissolves into an ink-like liquid as it matures.""}, {""subtitle"": ""How does Mushrooms (Coprinus comatus) occur?"", ""description"": ""This fungus reproduces through sexual and asexual reproduction. One interesting aspect is autodigestion, where enzymes released from the gills digest the mushroom's cap and stem. Spores that land on the mushroom trigger this process, causing the tissues to break down into a black, inky substance.""}]","[{""subtitle"": ""Physical Removal"", ""description"": ""Remove the mushrooms by hand as soon as they appear to prevent spores from spreading.""}, {""subtitle"": ""Adjust Soil Conditions"", ""description"": ""To prevent this, you can adjust the soil conditions in the affected area. Adding lime can help raise the soil's pH while adding organic matter can help balance the nitrogen levels to prevent the negative effects of the black, inky substance.""}, {""subtitle"": ""Improve Drainage"", ""description"": ""Enhance the drainage in the affected area to prevent moisture build-up, as Coprinus comatus thrives in moist environments.""}, {""subtitle"": ""Application of Fungicides"", ""description"": ""Antifungal Agents, including carbendazim, thiophanate-methyl, and iprodione. Prevent fungal cell division and growth and stop the formation of new fungal spores. \\nHowever, using these agents carefully and according to label instructions is important to avoid unintended negative impacts on other organisms in the ecosystem.""}]"
5,Powdery mildew,Erysiphe graminis,[],"[""all lawn grasses""]","[{""subtitle"": ""What is Powdery mildew (Erysiphe graminis)?"", ""description"": ""Powdery mildew is a fungal disease that affects a wide range of plants, including ornamentals, vegetables, and turfgrass. It is distributed worldwide and thrives in conditions with high humidity and moderate temperatures. Infected plants exhibit grayish white, powdery growth on leaf surfaces, starting as isolated patches and spreading over larger areas. In advanced stages, affected leaves may turn yellow and become distorted. ""}, {""subtitle"": ""How does Powdery mildew (Erysiphe graminis) occur?"", ""description"": ""Powdery mildew reproduces through sexual reproduction, forming fruiting bodies called cleistothecia that release spores. These spores can be carried by wind or other means to infect susceptible plants. Additionally, it reproduces asexually by producing conidia, which are airborne spores formed on the powdery growth of infected plants. These conidia can spread to new hosts, initiating new infections, and facilitating the rapid dissemination of the disease.""}]","[{""subtitle"": ""Select resistant plant varieties"", ""description"": ""Choose plant varieties that have demonstrated resistance to Erysiphe graminis, as they possess natural defences against the fungus.\\n""}, {""subtitle"": ""Ensure proper plant spacing"", ""description"": ""Maintain adequate spacing between plants to promote airflow and minimize humidity around the foliage, creating less favorable conditions for this fungus.""}, {""subtitle"": ""Optimize sunlight exposure"", ""description"": ""Position plants in areas that receive ample sunlight, as sunlight helps reduce humidity levels and inhibits its growth.""}, {""subtitle"": ""Manage watering practices"", ""description"": ""Avoid overhead watering, as wet foliage encourages its development. Instead, water plants at the base or utilize drip irrigation to keep the foliage dry.""}, {""subtitle"": ""Regular pruning and debris removal"", ""description"": ""Trim and dispose of infected plant parts, fallen leaves, and other debris to minimize the presence of fungal spores and reduce the risk of infection.""}, {""subtitle"": ""Practice crop rotation"", ""description"": ""If it recurs, rotate susceptible plants to different areas each growing season to break the disease cycle.""}, {""subtitle"": ""Monitor and detect early signs"", ""description"": ""Routinely inspect plants for early indications of infection, such as white powdery patches on leaves and stems. Early detection enables timely intervention and effective control.""}, {""subtitle"": ""Application of Fungicides"", ""description"": ""In severe cases or when preventive measures are insufficient. Azoxystrobin, propiconazole (Bumper® 250 EC), tebuconazole, myclobutanil (Orius 250 EW), fenarimol, difenoconazole, cyprodinil, and flutriafol are examples of synthetic fungicides effective against this fungus.\\n\\n Sulfur-based fungicides and Biofungicides based on Bacillus subtilis can also be used against this. Adhere to the instructions and apply them as directed.""}]"
6,Rust,Puccinia spp.,[],"[""all lawn grasses"", ""various flowers""]","[{""subtitle"": ""What is Rust (Puccinia spp) ?"", ""description"": ""Rust diseases are fungal infections that affect turfgrasses, caused by fungi in the Puccinia genus. They can be found on various types of grassy areas like golf courses, athletic fields, and home lawns. Symptoms include pale-yellow spots on leaves or stems that grow parallel to leaf veins. Over time, reddish-brown pustules form, releasing orange spores. Rust diseases usually appear in late summer or early fall, mainly affecting cool season grasses like perennial ryegrass and Kentucky bluegrass.""}, {""subtitle"": "" How does Rust (Puccinia spp) occur?"", ""description"": ""Rust diseases have a complex life cycle with different spore stages. The fungi produce windborne spores called urediniospores, which infect the host plant through tiny openings called stomata. Moisture, like heavy dew, is needed for spore germination and infection. Once inside the plant, the infection and spore production persist as long as the leaf lives. Rust fungi may need different host plants, including turfgrasses, shrubs, or ornamental plants, to complete their life cycle.""}]","[{""subtitle"": ""Preventions"", ""description"": ""\\n•\\tMaintain adequate nitrogen and irrigation to promote healthy turf growth.\\n\\n•\\tAvoid excessive thatch buildup and improve air circulation by regular aerating and dethatching.\\n\\n•\\tProvide sufficient spacing between plants to promote air circulation, reducing humidity levels and creating less favorable conditions for rust development.\\n\\n•\\tRemove and dispose of infected plant debris to reduce the source of inoculum.\\n\\n•\\tSelect rust-resistant turfgrass cultivars whenever possible.\\n\\n\\n""}, {""subtitle"": ""Application of fungicides"", ""description"": ""In cases of persistent rust problems, targeted application of fungicides may be necessary.\\n\\n•\\tTriazoles: Tebuconazole, Propiconazole, and Metconazole\\n•\\tStrobilurins: Azoxystrobin, Pyraclostrobin\\n•\\tCopper-based fungicides: Copper sulfate, Copper hydroxide Mancozeb (Bonide® Orchard Spray)\\n•\\tDithiocarbamates: Maneb, Mancozeb \\nThese are commonly used fungicides to prevent this disease. \\n\\nHowever, using these agents carefully and according to label instructions is vital to avoid unintended negative impacts on other organisms in the ecosystem.""}]"
7,Almond leaf scorch (Bacterial leaf scorch),Xylella fastidiosa,"[""Bacterial leaf scorch (almond leaf scorch)"", ""Pierce's disease"", ""Oleander leaf scorch""]","[""almond"", ""cherry"", ""grape"", ""oleander""]","[{""subtitle"": ""What is Almond leaf scorch (Xylella fastidiosa)?"", ""description"": ""Almond leaf scorch is a plant disease caused by the bacterium Xylella fastidiosa. It is responsible for causing Pierce's disease in grapevines and alfalfa dwarf disease, affecting a wide range of plant species and weeds. One notable symptom of almond leaf scorch is the distinct golden yellow color that severely infected tree canopies exhibit, leading to the disease being dubbed \\""golden death.\\"" While affected almond trees can survive for several years, their overall health, growth, and productivity are significantly compromised.""}, {""subtitle"": ""How does Almond leaf scorch (Xylella fastidiosa) occur?"", ""description"": ""Xylella fastidiosa, the bacterium responsible for almond leaf scorch, reproduces and spreads primarily through insect vectors. Insects like leafhoppers and spittlebugs acquire the bacterium while feeding on infected plants and transmit it to healthy plants during subsequent feeding. Infected plants act as reservoirs, allowing the bacterium to persist and spread through insect activity or movement of infected plant material. Additionally, transmission can occur using contaminated grafting or pruning tools.\\n""}]","[{""subtitle"": ""Plant Selection and Sanitation"", ""description"": ""•\\tUse disease-resistant almond tree varieties to reduce susceptibility.\\n\\n•\\tMaintain good orchard hygiene by removing and destroying infected plant material, including infected trees.\\n\\n•\\tPrune and remove infected branches or scaffold limbs below visible symptoms, following proper sanitation practices.\\n""}, {""subtitle"": ""Insect Control and Stress Management"", ""description"": ""•\\tImplement integrated pest management strategies to control insect vectors like leafhoppers and spittlebugs.\\n\\n•\\tPractice proper irrigation techniques to prevent plant stress, as stressed plants are more vulnerable to disease.\\n\\n•\\tTest soil, correct deficiencies/imbalances, and adjust pH if necessary.\\n""}, {""subtitle"": ""Chemical Treatments"", ""description"": ""•\\tAntibiotic injection: Slows disease spread but doesn't cure the tree. Expensive and requires ongoing treatment. Tetracycline, Oxytetracycline, Chlortetracycline and Streptomycin have been used for the treatment of  Xylella fastidiosa in certain cases following local recommendations and regulations. Injection sites can also be prone to colonization by harmful fungi.""}]"
8,Armillaria root rot (Oak root fungus),Armillaria mellea,"[""Honey fungus"", ""Oak root fungus (Armillaria root rot)"", ""Armillaria root rot"", ""Wood decay (general)""]","[""almond"", ""apple"", ""aspen"", ""carnation"", ""citrus"", ""cottonwood"", ""grape"", ""pear"", ""poplar"", ""stone fruit"", ""various flowers"", ""various fruits and nuts"", ""various trees and shrubs"", ""walnut""]","[{""subtitle"": ""What is Armillaria root rot (Armillaria mellea)?"", ""description"": ""Armillaria root rot, caused by Armillaria fungi, affects various plants like trees, palms, ferns, and more. Also known as \\""oak root fungus,\\"" it commonly occurs in California's home gardens, parks, vineyards, and tree crops. Infected plants exhibit symptoms such as decline, wilting leaves, rapid death, bleeding, defoliation, twig dieback, thinning, and flat cankers on the trunk. Armillaria root rot is indicated by the presence of light brown mushrooms, mycelial fans, and black rhizomorphs.""}, {""subtitle"": ""How does Armillaria root rot (Armillaria mellea) occur?"", ""description"": ""Armillaria root rot spreads through root-to-root contact between plants and by releasing spores through mushrooms. The fungus reproduces vegetatively when roots come into contact with each other. It also reproduces sexually by releasing spores that can colonize dead stumps or woody debris nearby. To establish new growth, two spores with half the parent's genetic material must fuse in the same wood. This process leads to the mushroom formation and spore release for further dissemination.""}]","[{""subtitle"": ""Plant selection and good cultural practices"", ""description"": ""•\\tChoose resistant plant species or cultivars that are less susceptible to Armillaria infection.\\n\\n•\\tEnsure proper planting techniques, including proper soil drainage and avoid planting too deeply.\\n\\n•\\tMaintain plant health through proper watering, fertilization, and pruning.\\n\\n•\\tAvoid overwatering or creating waterlogged conditions.\\n""}, {""subtitle"": ""Soil management and removal of infected material"", ""description"": ""•\\tImprove soil drainage by incorporating organic matter, such as compost, and avoid excessive irrigation.\\n\\n•\\tPromptly remove and destroy infected plants, roots, and stumps to prevent the spread of the fungus.\\n""}, {""subtitle"": ""Chemical Control"", ""description"": ""•\\tHere are a few fungicides commonly used for controlling Armillaria root rot: phosphite-based fungicides (e.g., potassium phosphite), thiophanate-methyl, metalaxyl, propiconazole, and fluazinam. These fungicides can be effective in managing the disease, \\n\\n• It is important to follow label instructions and consult with professionals for specific recommendations.\\n""}]"
9,Bacterial canker,Pseudomonas syringae,"[""Bacterial blossom blast"", ""Bacterial canker and blast"", ""Bacterial leaf spot"", ""Angular leaf spot"", ""Leaf spot Angular"", ""Citrus blast"", ""Bacterial blight""]","[""almond"", ""apple"", ""apricot"", ""broccoli"", ""cantaloupe"", ""citrus"", ""various fruits and nuts"", ""various trees and shrubs""]","[{""subtitle"": ""What is Bacterial canker (Pseudomonas syringae)?"", ""description"": ""Pseudomonas syringae is a bacterial pathogen that causes economically important diseases in the Pacific Northwest. It infects a wide range of fruits, vegetables, and ornamental plants, including plums, cherries, apricots, peaches, and ornamental Prunus species. Common symptoms include flower blast, dead buds, necrotic leaf spots, fruit spots, shoot-tip dieback, stem cankers, and inhibited seed germination. Disease severity varies, with factors like wounds, plant dormancy, soil conditions, and dual infections increasing susceptibility. ""}, {""subtitle"": ""How dose Bacterial canker (Pseudomonas syringae) occur?"", ""description"": ""Pseudomonas syringae reproduces through binary fission, dividing into two identical daughter cells. It rapidly multiplies in favorable conditions of high humidity and moderate temperatures. The bacterium can survive in infected plant debris, weeds, and soil. Spread occurs through water splashes, wind, insects, and contaminated tools. It can also establish latent infections within plant tissues, aiding its long-term persistence and further spread.""}]","[{""subtitle"": ""Cultural Practices and Crop Rotation"", ""description"": ""•\\tImplement good sanitation measures by removing and destroying infected plant debris.\\n\\n•\\tRotate susceptible plant species with non-host plants to disrupt the disease cycle.\\n\\n•\\tMaintain proper plant nutrition and avoid excessive nitrogen fertilization.\\n""}, {""subtitle"": ""Integrated Pest Management (IPM) and Resistant Varieties"", ""description"": ""•\\tImplement an IPM approach, combining various strategies to manage the disease effectively.\\n\\n•\\tChoose and plant resistant or tolerant varieties to reduce susceptibility.\\n\\n•\\tExplore the use of beneficial microorganisms or biocontrol agents to suppress bacterial growth.\\n""}, {""subtitle"": ""Chemical Control"", ""description"": ""Chemical Control:  Antibiotics such as streptomycin and oxytetracycline, as well as copper-based fungicides or bactericides like copper sulfate and copper hydroxide, can be used to treat Pseudomonas syringae infections. \\n\\nFollow label instructions and apply at the right time and concentration.""}]"
10,Brown rot,Monilinia spp.,[],"[""almond"", ""stone fruit""]","[{""subtitle"": ""What is Brown rot (monilinia ssp)?"", ""description"": ""Brown rot, caused by the fungal pathogen Monilinia spp., is a common plant disease that affects a wide range of fruit trees, particularly stone fruits such as peaches, plums, cherries, and apricots worldwide. It is characterized by the development of brown, shrivelled, and rotting fruit with a fuzzy, tan-colored fungal growth on the surface. Brown rot can cause significant yield losses in orchards and can spread rapidly under warm and humid conditions. ""}, {""subtitle"": ""How does Brown rot (monilinia ssp) occur? "", ""description"": ""The disease occurs when the fungal pathogen enters fruit trees through wounds or direct contact with infected material or airborne spores. It thrives in warm and humid conditions. \\nThe fungus can infect fruit through wounds, such as insect bites, cracks, or bruises, or by direct contact with infected plant material. Once the fungus enters the fruit, it rapidly spreads, causing the fruit to rot and develop a fuzzy fungal growth. Spores produced by the fungus can be carried by wind, rain, or insects to infect other fruit or nearby trees, leading to further spread of the disease. ""}]","[{""subtitle"": ""Cultural Control"", ""description"": ""•\\tChoose resistant varieties which are less likely to contact the disease and can reduce the risk of an outbreak.\\n\\n•\\tRemove and destroy infected plant parts to break the disease life cycle and prevent it from causing significant harm.\\n\\n•\\tPrune fruit trees to promote good air circulation and sunlight penetration. This will help to reduce humidity and prevent the fungus from spreading.\\n\\n•\\tHarvest fruit when it is fully ripe and remove any infected fruit immediately to prevent the disease from spreading.\\n\\n•\\tRemove any infected plant material from the orchard and dispose of it properly.\\n""}, {""subtitle"": ""Chemical Control"", ""description"": ""To prevent and control this fungal disease in fruit trees, use fungicides like Captan, Myclobutanil, Thiophanate-methyl, and Propiconazole. Copper fungicides and sulfur powders can be applied weekly, while Tanglefoot® Pruning Sealer is used to seal cuts and wounds. Organocide® Plant Doctor and Bonide® Orchard Spray are eco-friendly options that can be applied as foliar sprays.\\n\\nConsult with a professional to determine the best treatment option for brown rot, follow the instructions provided by the fungicide manufacturer carefully, and spray all parts of the plant thoroughly, especially new shoots.\\n""}]"
