plant_disease_id,regular_url_image,thumbnail_image
1,https://perenual.com/storage/species_disease/1_a/regular/Fairy_ring_-_geograph.org.uk_-_1057031.jpg,https://perenual.com/storage/species_disease/1_a/thumbnail/Fairy_ring_-_geograph.org.uk_-_1057031.jpg
2,https://perenual.com/storage/species_disease/2__panaeolus_foenisecii_/regular/Panaeolus_foenisecii_124316833.jpg,https://perenual.com/storage/species_disease/2__panaeolus_foenisecii_/thumbnail/Panaeolus_foenisecii_124316833.jpg
3,https://perenual.com/storage/species_disease/3_p/regular/Monographella_nivalis-2013-Brno-4.jpg,https://perenual.com/storage/species_disease/3_p/thumbnail/Monographella_nivalis-2013-Brno-4.jpg
4,https://perenual.com/storage/species_disease/4_c/regular/Coprinus_comatus-2_hg.jpg,https://perenual.com/storage/species_disease/4_c/thumbnail/Coprinus_comatus-2_hg.jpg
5,https://perenual.com/storage/species_disease/5_e/regular/Blumeria_graminis_on_winter_wheat.jpg,https://perenual.com/storage/species_disease/5_e/thumbnail/Blumeria_graminis_on_winter_wheat.jpg
6,https://perenual.com/storage/species_disease/6_p/regular/13034637154_1c0ffb57b9_b.jpg,https://perenual.com/storage/species_disease/6_p/thumbnail/13034637154_1c0ffb57b9_b.jpg
7,https://perenual.com/storage/species_disease/7_xylella_fastidiosa/regular/Ahorn_Krankheit_9980.jpg,https://perenual.com/storage/species_disease/7_xylella_fastidiosa/thumbnail/Ahorn_Krankheit_9980.jpg
8,https://perenual.com/storage/species_disease/8_a/regular/Armillaria_mellea%2C_Honey_Fungus%2C_UK%2C_3.jpg,https://perenual.com/storage/species_disease/8_a/thumbnail/Armillaria_mellea%2C_Honey_Fungus%2C_UK%2C_3.jpg
9,https://perenual.com/storage/species_disease/9_p/regular/Pseudomonas_syringae_a2_%283%29.jpg,https://perenual.com/storage/species_disease/9_p/thumbnail/Pseudomonas_syringae_a2_%283%29.jpg
10,https://perenual.com/storage/species_disease/10_monilinia_spp/regular/Monilinia-fruchtfaeule.jpg,https://perenual.com/storage/species_disease/10_monilinia_spp/thumbnail/Monilinia-fruchtfaeule.jpg
11,https://perenual.com/storage/species_disease/11_wilsonomyces_carpophilus/regular/Peach_shot_hole_disease.jpg,https://perenual.com/storage/species_disease/11_wilsonomyces_carpophilus/thumbnail/Peach_shot_hole_disease.jpg
12,https://perenual.com/storage/species_disease/12_a/regular/36529624215_6e41122f0e_b.jpg,https://perenual.com/storage/species_disease/12_a/thumbnail/36529624215_6e41122f0e_b.jpg
13,,
14,,
15,,
16,https://perenual.com/storage/species_disease/16_verticillium__dahliae/regular/29491771515_ac80d9e010_b.jpg,https://perenual.com/storage/species_disease/16_verticillium__dahliae/thumbnail/29491771515_ac80d9e010_b.jpg
17,https://perenual.com/storage/species_disease/17_plasmodiophora_brassicae/regular/Knolvoet_bij_bloemkool_28Plasmodiophora_brassicae_on_cauliflower29.jpg,https://perenual.com/storage/species_disease/17_plasmodiophora_brassicae/thumbnail/Knolvoet_bij_bloemkool_28Plasmodiophora_brassicae_on_cauliflower29.jpg
18,https://perenual.com/storage/species_disease/18_rhizoctonia_solani/regular/9737590164_e32057b741_b.jpg,https://perenual.com/storage/species_disease/18_rhizoctonia_solani/thumbnail/9737590164_e32057b741_b.jpg
19,https://perenual.com/storage/species_disease/19_sclerotinia_homoecarpa_ lanzia/regular/15489837762_0b9ab08177_b.jpg,https://perenual.com/storage/species_disease/19_sclerotinia_homoecarpa_ lanzia/thumbnail/15489837762_0b9ab08177_b.jpg
20,https://perenual.com/storage/species_disease/20_m/regular/Microdochium_nivale_%2806%29.jpg,https://perenual.com/storage/species_disease/20_m/thumbnail/Microdochium_nivale_%2806%29.jpg
21,https://perenual.com/storage/species_disease/21_ilarvirus/regular/PanaC5A1ovC3A1nC3AD_listu_jablonC49B.jpg,https://perenual.com/storage/species_disease/21_ilarvirus/thumbnail/PanaC5A1ovC3A1nC3AD_listu_jablonC49B.jpg
22,https://perenual.com/storage/species_disease/22_v/regular/Venturia_inaequalis_a2_%281%29.jpg,https://perenual.com/storage/species_disease/22_v/thumbnail/Venturia_inaequalis_a2_%281%29.jpg
23,https://perenual.com/storage/species_disease/23_nectria_galligena/regular/Baumkrebs_28Nectria_galligena29.jpg,https://perenual.com/storage/species_disease/23_nectria_galligena/thumbnail/Baumkrebs_28Nectria_galligena29.jpg
24,https://perenual.com/storage/species_disease/24_erwinia_amylovora/regular/Apple_tree_with_fire_blight.jpg,https://perenual.com/storage/species_disease/24_erwinia_amylovora/thumbnail/Apple_tree_with_fire_blight.jpg
25,https://perenual.com/storage/species_disease/25_t/regular/41856600312_fdbd3236f8_b.jpg,https://perenual.com/storage/species_disease/25_t/thumbnail/41856600312_fdbd3236f8_b.jpg
26,https://perenual.com/storage/species_disease/26_p/regular/38978012882_9cac2df61e_b.jpg,https://perenual.com/storage/species_disease/26_p/thumbnail/38978012882_9cac2df61e_b.jpg
27,https://perenual.com/storage/species_disease/27_ganoderma_lucidum/regular/Ganoderma_lucidum_48805944.jpg,https://perenual.com/storage/species_disease/27_ganoderma_lucidum/thumbnail/Ganoderma_lucidum_48805944.jpg
28,https://perenual.com/storage/species_disease/28_eutypa_lata/regular/Eutypa_acharii_194287.jpg,https://perenual.com/storage/species_disease/28_eutypa_lata/thumbnail/Eutypa_acharii_194287.jpg
29,https://perenual.com/storage/species_disease/29_p/regular/15789581864_33756b29ea_b.jpg,https://perenual.com/storage/species_disease/29_p/thumbnail/15789581864_33756b29ea_b.jpg
30,https://perenual.com/storage/species_disease/30_s/regular/5832752111_ae2df1c129_b.jpg,https://perenual.com/storage/species_disease/30_s/thumbnail/5832752111_ae2df1c129_b.jpg
31,https://perenual.com/storage/species_disease/31_b/regular/33938535226_6eb3e7a8a8_b.jpg,https://perenual.com/storage/species_disease/31_b/thumbnail/33938535226_6eb3e7a8a8_b.jpg
32,https://perenual.com/storage/species_disease/32_botrytis_cinerea/regular/33859218262_9ce14263c2_b.jpg,https://perenual.com/storage/species_disease/32_botrytis_cinerea/thumbnail/33859218262_9ce14263c2_b.jpg
33,https://perenual.com/storage/species_disease/33_l/regular/9077261153_b358d0a039_b.jpg,https://perenual.com/storage/species_disease/33_l/thumbnail/9077261153_b358d0a039_b.jpg
34,https://perenual.com/storage/species_disease/34_d/regular/Anthracnose_on_blueberry_a1.jpg,https://perenual.com/storage/species_disease/34_d/thumbnail/Anthracnose_on_blueberry_a1.jpg
35,https://perenual.com/storage/species_disease/35_botryosphaeria_stevensii/regular/1346px-Anthracnose_-_canker_-_Baumkrebs_-_Pflanzenkrebs_-_Chancre_-_antracnosis_-_01a.jpg,https://perenual.com/storage/species_disease/35_botryosphaeria_stevensii/thumbnail/1346px-Anthracnose_-_canker_-_Baumkrebs_-_Pflanzenkrebs_-_Chancre_-_antracnosis_-_01a.jpg
