general_plant_id,sunlight,watering,drought_tolerant,absolute_min_temp_c
398,"[""full sun"", ""part shade""]",Average,True,-17.8
399,"[""full sun"", ""part shade""]",Average,False,-23.3
400,"[""full sun"", ""part shade""]",Average,True,-28.9
401,"[""Full sun"", ""part shade""]",Average,False,-23.3
402,"[""full sun"", ""part shade""]",Average,True,-28.9
403,"[""full sun"", ""part shade""]",Average,False,-23.3
404,"[""full sun"", ""part shade""]",Average,False,-23.3
405,"[""full sun"", ""part shade""]",Average,False,-23.3
406,"[""full sun"", ""part shade""]",Average,False,-28.9
407,"[""full sun"", ""part shade""]",Average,False,-34.4
408,"[""full sun"", ""part shade""]",Average,False,-23.3
409,"[""full sun""]",Average,True,-28.9
410,"[""full sun""]",Frequent,True,-45.6
411,"[""Full sun""]",Average,False,-45.6
412,"[""Full sun""]",Average,True,-12.2
413,"[""full sun""]",Average,True,-6.7
414,"[""full sun""]",Average,False,-40.0
415,"[""full sun"", ""part sun/part shade""]",Average,False,-40.0
416,"[""part sun/part shade"", ""full sun""]",Average,False,-40.0
417,"[""Full sun"", ""part shade""]",Average,False,-23.3
418,"[""full sun""]",Average,False,-28.9
419,"[""full sun""]",Average,False,-34.4
420,"[""full sun"", ""part shade""]",Average,False,-28.9
421,"[""full sun"", ""part shade""]",Average,False,-34.4
422,"[""full sun"", ""part shade""]",Average,False,-34.4
423,"[""full sun"", ""part shade""]",Average,False,-34.4
424,"[""full sun""]",Average,True,-23.3
425,"[""full sun"", ""part shade""]",Frequent,True,-6.7
426,"[""full sun"", ""part shade""]",Average,True,-6.7
427,"[""full sun"", ""part shade""]",Average,True,-6.7
428,"[""full sun""]",Average,True,-6.7
429,"[""full sun"", ""part shade""]",Average,True,-6.7
431,"[""full sun""]",Average,True,-6.7
432,"[""full sun""]",Average,True,-28.9
433,"[""full sun"", ""part shade""]",Average,False,-1.1
434,"[""full sun"", ""part shade""]",Frequent,False,-1.1
435,"[""full sun""]",Average,True,-34.4
436,"[""full sun"", ""part shade""]",Average,True,-28.9
437,"[""full sun"", ""part shade""]",Average,False,-17.8
438,"[""part sun/part shade"", ""full sun""]",Average,True,-17.8
439,"[""full sun"", ""part shade""]",Minimum,True,-17.8
440,"[""full sun"", ""part shade""]",Average,True,-17.8
441,"[""full sun"", ""part shade""]",Average,False,-28.9
442,"[""full sun"", ""part shade""]",Average,True,-23.3
443,"[""full sun"", ""part shade""]",Minimum,True,-12.2
457,"[""full sun"", ""part shade""]",Average,False,-28.9
458,"[""full sun"", ""part shade""]",Average,False,-28.9
459,"[""full sun"", ""part shade""]",Average,False,-28.9
471,"[""full sun""]",Average,False,-40.0
472,"[""full sun""]",Minimum,False,-40.0
