ID,Binomial,CommonName,FamilyCommonName,Class,Order,Family,Genus,Species,Subspecies,FunctionalGroup,EPBCStatus,IUCNStatus,MaxStatus,NationalPriorityTaxa,State,Region,RegionCentroidLatitude,RegionCentroidLongitude
4714,Banksia_ionthocarpa_subsp_chrysophoenix,,,,Proteales,Proteaceae,Banksia,ionthocarpa,subsp. chrysophoenix,Shrub,Endangered,Endangered,Endangered,No,Western Australia,Katanning,-32.41332852,117.1792762
4715,Banksia_ionthocarpa_subsp_chrysophoenix,,,,Proteales,Proteaceae,Banksia,ionthocarpa,subsp. chrysophoenix,Shrub,Endangered,Endangered,Endangered,No,Western Australia,Katanning,-32.41332852,117.1792762
4716,Banksia_ionthocarpa_subsp_chrysophoenix,,,,Proteales,Proteaceae,Banksia,ionthocarpa,subsp. chrysophoenix,Shrub,Endangered,Endangered,Endangered,No,Western Australia,Katanning,-32.41332852,117.1792762
4717,Banksia_ionthocarpa_subsp_chrysophoenix,,,,Proteales,Proteaceae,Banksia,ionthocarpa,subsp. chrysophoenix,Shrub,Endangered,Endangered,Endangered,No,Western Australia,Katanning,-32.41332852,117.1792762
4718,Banksia_ionthocarpa_subsp_ionthocarpa,,,,Proteales,Proteaceae,Banksia,ionthocarpa,subsp. ionthocarpa,Shrub,Endangered,Endangered,Endangered,No,Western Australia,Fitzgerald,-34.23074081,119.1504387
4719,Banksia_montana,Stirling Range Dryandra,,,Proteales,Proteaceae,Banksia,montana,,Shrub,Critically Endangered,Critically Endangered,Critically Endangered,Yes,Western Australia,Fitzgerald,-34.23074081,119.1504387
4720,Banksia_vincentia,,,,Proteales,Proteaceae,Banksia,vincentia,,Shrub,Critically Endangered,Critically Endangered,Critically Endangered,No,New South Wales,Jervis,-35.26523623,150.6600222
4721,Acacia_enterocarpa,Jumping-jack Wattle,,,Fabales,Fabaceae,Acacia,enterocarpa,,Shrub,Endangered,,Endangered,No,South Australia,Tintinara,-35.97157537,139.9875087
4722,Acacia_enterocarpa,Jumping-jack Wattle,,,Fabales,Fabaceae,Acacia,enterocarpa,,Shrub,Endangered,,Endangered,No,South Australia,Tintinara,-35.97157537,139.9875087
4723,Acacia_enterocarpa,Jumping-jack Wattle,,,Fabales,Fabaceae,Acacia,enterocarpa,,Shrub,Endangered,,Endangered,No,South Australia,Lowan Mallee,-35.64006379,140.609955
