Club,Link,Meeting_day,Meeting_week,Meeting_hour,Contact,State,Location
African Violet Association of Australia,https://africanviolet.org.au/,1,2,10:00,02 4973 5727,ALL,
African Violet Association of Australia,https://africanviolet.org.au/,1,4,20:00,02 4973 5727,ALL,
Australasian Association of Friends of Botanic Gardens,https://friendsbotanicgardens.org/,,,,,ALL,
Australasian Carnivorous Plant Society,https://auscps.com/,5,2,19:30,,NSW,
Australasian Carnivorous Plant Society,https://auscps.com/,3,1,19:00,,QLD,
Australian City Farms & Community Garden Network,https://communitygarden.org.au/,,,,0438 860 954,ALL,
Australasian Native Orchid Society,https://anos.org.au/,,,,,ALL,
Botanical Gardens of Australia & New Zealand,https://www.bganz.org.au/,,,,,ALL,
Bromeliad Society of Australia,http://www.bromeliad.org.au/,6,2,10,02 9516 5976,NSW,
Camellias Australia,http://camelliasaustralia.com.au/,,,,0421 972 287,ALL,
Frangipani Society of Australia,https://www.frangipani.org.au/,,,,0411 045 718,ALL,
Garden Plant Conservation Association of Australia,https://www.planttrust.org.au/,3,2,9:30,03 9650 5639,ALL,
Heritage Roses in Australia,https://www.heritageroses.org.au/,3,2,9:30,0413 571 165,ALL,
International Cordyline Society,https://www.cordyline.org/,7,4,10:00,07 3822 4485,ALL,
National Rose Society of Australia,https://rose.org.au/,,,,02 4244 3765,ALL,
Braidwood Garden Club,https://braidwoodgardenclub.org/,4,2,10:00,0407 150 409,ACT,
Cooma Community Garden,https://coomacommunitygarden.wordpress.com/,6,1,13:30,0403 080 445,ACT,
Horticultural Society of Canberra,https://hsoc.org.au/,1,3,19:30,,ACT,
Cactus & Succulent Society of the ACT,https://www.cactusact.org.au/,7,3,10:30,,ACT,
Canberra Geranium & Fuchsia Society,https://www.cgfs.org.au/,6,1,14:00,0492 225 189,ACT,
Canberra Organic Growers Society,https://cogs.asn.au/,2,4,19:00,0405 247 360,ACT,
Friends of Old Parliament House Rose Gardens,https://www.fophrg.org.au/,2,2,16:30,,ACT,
Canberra City Farm,https://www.facebook.com/CanberraCityFarm,2,4,17:00,0434 982 053,ACT,
