"kaggle_plant_disease_name","perenual_plant_disease_id","perenual_plant_disease_common_name","mapping_notes"
"Apple__black_rot",67,"Black blight (Ringspot)","Mapped to closest match: Black blight"
"Apple__healthy",0,"healthy","Healthy plant"
"Apple__rust",6,"Rust","Common name match"
"Apple__scab",22,"Apple scab","Direct match"
"Cassava__bacterial_blight",56,"Bacterial soft rots leaf spots blights wilts","Bacterial disease, mapped to general category"
"Cassava__brown_streak_disease",38,"Leaf spot diseases","Symptom based mapping to leaf spot"
"Cassava__green_mottle",52,"Mosaic viruses","Symptom based mapping to mosaic viruses"
"Cassava__healthy",0,"healthy","Healthy plant"
"Cassava__mosaic_disease",52,"Mosaic viruses","Direct match to virus category"
"Cherry__healthy",0,"healthy","Healthy plant"
"Cherry__powdery_mildew",98,"Powdery mildew","Plant-specific powdery mildew ID"
"Chili__healthy",0,"healthy","Healthy plant"
"Chili__leaf_curl",49,"Curly top","Symptom similarity to curly top virus"
"Chili__leaf_spot",61,"Leaf spot","Common name match"
"Chili__whitefly",52,"Mosaic viruses","Whitefly is a common virus vector"
"Chili__yellowish",52,"Mosaic viruses","Yellowing is a common virus symptom"
"Coffee__cercospora_leaf_spot",92,"Cercospora leaf spot","Direct match"
"Coffee__healthy",0,"healthy","Healthy plant"
"Coffee__red_spider_mite",61,"Leaf spot","Mite damage causes leaf spotting"
"Coffee__rust",6,"Rust","Common name match"
"Corn__common_rust",6,"Rust","Common name match"
"Corn__gray_leaf_spot",61,"Leaf spot","Common name match"
"Corn__healthy",0,"healthy","Healthy plant"
"Corn__northern_leaf_blight",83,"Alternaria blight","Blight symptom match"
"Cucumber__diseased",75,"Downy mildew","Common leaf disease for cucumber"
"Cucumber__healthy",0,"healthy","Healthy plant"
"Gauva__diseased",6,"Rust","Common leaf disease for guava"
"Gauva__healthy",0,"healthy","Healthy plant"
"Grape__black_measles",67,"Black blight (Ringspot)","Symptom based mapping"
"Grape__black_rot",31,"Botrytis rot (gray mold)","Symptom based mapping"
"Grape__healthy",0,"healthy","Healthy plant"
